"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
708.000000  	  52.277317   	.083594     	4.962498    	3.124449    	16.767429   	20.223366   	1.151609    	1.223854    	.070382     	.025860     	1.896634    	.002281     	.212191     	.094800     	.906883     	.786120     	.081008     	.035106     	.002163     	.000755     	99.910355   	10.017941   	9.009700    	77.805801   	11.003000   	.023837     	.048543     	.024220     	.038763     	.010394     	.008078     	.015209     	.011314     	.025574     	.036995     	.276894     	49.551723   	1.066234    	2.116047    	.403599     	.233200     	2.184705    	1.103903    	23.513390   	86.832291   	
709.000000  	  51.979237   	.167157     	4.854400    	3.079095    	16.663353   	20.184395   	1.118469    	1.268200    	.088755     	.000000     	1.895922    	.004585     	.208681     	.093924     	.906082     	.788808     	.079098     	.036573     	.002742     	.000000     	99.403061   	10.016415   	8.993200    	77.828300   	11.003000   	.023737     	.041661     	.024187     	.043313     	.010607     	.007922     	.014949     	.011490     	.026014     	.037343     	.277607     	23.859247   	1.079711    	2.167202    	.404999     	.233331     	2.216358    	1.083601    	19.203705   	-2480.01880 	
710.000000  	  51.851864   	.074307     	4.915545    	3.058569    	16.712540   	20.239433   	1.136188    	1.274869    	.089660     	.012706     	1.892830    	.002040     	.211483     	.093375     	.909503     	.791609     	.080417     	.036796     	.002772     	.000373     	99.365685   	10.021198   	8.979800    	77.802803   	11.003000   	.023485     	.046254     	.024298     	.040104     	.010241     	.007905     	.015151     	.011227     	.026141     	.037163     	.277952     	53.032532   	1.072853    	2.151347    	.404194     	.233027     	2.200581    	1.071737    	19.103476   	176.472321  	
711.000000  	  52.190868   	.108339     	4.950246    	3.166651    	16.721975   	20.255411   	1.110233    	1.278680    	.060509     	.054431     	1.894826    	.002958     	.211816     	.096148     	.905059     	.787918     	.078152     	.036704     	.001861     	.001589     	99.897324   	10.017031   	9.019600    	77.774200   	11.003000   	.023496     	.046243     	.024304     	.038546     	.010524     	.007966     	.015629     	.011191     	.025844     	.036335     	.277016     	37.579582   	1.068444    	2.098490    	.404340     	.232945     	2.241842    	1.068427    	27.385324   	41.071407   	
712.000000  	  49.626781   	.475602     	5.981498    	3.405851    	16.405643   	18.335852   	1.093841    	1.085553    	.092224     	.081134     	1.861170    	.013413     	.264385     	.106822     	.917228     	.736777     	.079538     	.032189     	.002930     	.002447     	96.583984   	10.016899   	8.329500    	77.541496   	11.003000   	.023724     	.041564     	.023764     	.038605     	.010578     	.007798     	.015277     	.011060     	.025134     	.037086     	.285105     	10.590459   	.955350     	2.013943    	.408159     	.244828     	2.252163    	1.186216    	17.992599   	28.420443   	
713.000000  	  49.960266   	.454107     	6.040675    	3.386949    	16.345430   	18.289299   	1.068027    	1.064807    	.087767     	.106542     	1.867248    	.012763     	.266084     	.105865     	.910726     	.732385     	.077395     	.031465     	.002778     	.003203     	96.803864   	10.009912   	8.303000    	77.538399   	11.003000   	.023662     	.045814     	.024525     	.038296     	.010102     	.007740     	.015137     	.011243     	.026522     	.036911     	.284083     	11.443789   	.953936     	2.018495    	.408604     	.245170     	2.280189    	1.208972    	19.732180   	21.781784   	
714.000000  	  51.925140   	.191880     	5.007314    	3.151959    	16.722080   	20.034662   	1.182416    	1.233431    	.102639     	.034475     	1.891102    	.005255     	.214931     	.096002     	.907908     	.781780     	.083495     	.035517     	.003166     	.001010     	99.585991   	10.020167   	8.322900    	77.513000   	11.003000   	.023445     	.045218     	.024792     	.042071     	.010501     	.007795     	.014441     	.011267     	.024990     	.036726     	.277807     	22.464912   	1.065085    	2.128822    	.404359     	.234170     	2.137153    	1.096598    	16.226643   	64.924911   	
715.000000  	  51.989742   	.272244     	5.067765    	3.237712    	16.659058   	20.065825   	1.144819    	1.217992    	.064970     	.018139     	1.890376    	.007444     	.217172     	.098454     	.903016     	.781723     	.080708     	.035015     	.002001     	.000530     	99.738281   	10.016439   	8.296300    	77.510002   	11.003000   	.023457     	.044511     	.024231     	.038216     	.010202     	.007556     	.015813     	.011214     	.025919     	.036729     	.277573     	16.700886   	1.053270    	2.070073    	.404922     	.233849     	2.206131    	1.103924    	25.663984   	122.486618  	
716.000000  	  51.967525   	.259962     	5.286421    	3.263112    	16.517622   	19.934532   	1.165954    	1.178838    	.108023     	.076668     	1.888985    	.007106     	.226472     	.099196     	.895073     	.776368     	.082173     	.033879     	.003326     	.002241     	99.758652   	10.014820   	8.273100    	77.525803   	11.003000   	.023284     	.048840     	.024198     	.039890     	.009823     	.008029     	.014755     	.011414     	.025272     	.036466     	.277731     	18.365545   	1.027613    	2.072231    	.406696     	.234866     	2.161882    	1.135193    	15.629353   	29.550787   	
717.000000  	  51.764439   	.095974     	4.973880    	3.178827    	16.525290   	19.898617   	1.084713    	1.237888    	.124648     	.032675     	1.896920    	.002645     	.214817     	.097420     	.902778     	.781278     	.077070     	.035866     	.003869     	.000963     	98.916969   	10.013627   	8.074100    	78.930397   	11.003000   	.023791     	.043487     	.024181     	.037384     	.010720     	.007883     	.014821     	.011234     	.025301     	.036958     	.278351     	39.900734   	1.064629    	2.086627    	.406941     	.235071     	2.254037    	1.092996    	13.734077   	68.866234   	
